id,idMesa,codigoMesa,idEleccion,idUbigeo,centroPoblado,nombreLocalVotacion,codigoLocalVotacion,totalElectoresHabiles,totalVotosEmitidos,totalVotosValidos,totalAsistentes,porcentajeParticipacionCiudadana,estadoActa,estadoComputo,codigoEstadoActa,descripcionEstadoActa,adAgrupacionPolitica,adDescripcion,adVotos,adPorcentajeVotosEmitidos
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,4,PERÚ MODERNO,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,29,PARTIDO POLÍTICO PERÚ PRIMERO,1,1.429
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,1,ALIANZA PARA EL PROGRESO,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,33,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",5,7.143
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,9,FUERZA Y LIBERTAD,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,8,FUERZA POPULAR,2,2.857
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,38,UNIDAD NACIONAL,2,2.857
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,25,PARTIDO POLÍTICO COOPERACIÓN POPULAR,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,3,ALIANZA ELECTORAL VENCEREMOS,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,18,PARTIDO DEMÓCRATA VERDE,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,34,PROGRESEMOS,,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,28,PARTIDO POLÍTICO PERÚ ACCIÓN,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,30,PARTIDO POLÍTICO PRIN,,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,17,PARTIDO DEMÓCRATA UNIDO PERÚ,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,21,PARTIDO FRENTE DE LA ESPERANZA 2021,1,1.429
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,82,VOTOS IMPUGNADOS,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,81,VOTOS NULOS,4,5.714
